영화코드,영화명,개봉일,제작국가,장르,감독,배우,상영시간,누적 관객수
37,친구 2 (Friend : The Great Legacy),2013-11-14,한국,액션,곽경택,"유오성,주진모,김우빈",123분 39초,"2,971,475"
38,주토피아 (Zootopia),2016-02-17,미국,애니메이션,"바이론 하워드,리치 무어","지니퍼 굿윈,제이슨 베이트먼,샤키라",108분 25초,"4,706,158"
39,독전 (Believer),2018-05-22,한국,범죄,이해영,"류준열,김주혁,조진웅,김성령,박해준,차승원,진서연",123분 20초,"5,063,844"
40,백두산 (ASHFALL),2019-12-19,한국,어드벤처,"이해준,김병서","이병헌,하정우,마동석,전혜진,배수지",128분 0초,"8,252,909"
41,간신 (The Treacherous),2015-05-21,한국,사극,민규동,"김강우,천호진,임지연,주지훈,이유영",131분 7초,"1,110,274"
42,미니언즈 (Minions),2015-07-29,미국,애니메이션,"피에르 꼬팽,카일 발다","산드라 블록,존 햄,마이클 키튼",90분 55초,"2,626,097"
43,강철비 (Steel Rain),2017-12-14,한국,액션,양우석,"정우성,곽도원",139분 36초,"4,452,900"
44,겨울왕국 2 (Frozen 2),2019-11-21,미국,애니메이션,"크리스 벅,제니퍼 리","크리스틴 벨,이디나 멘젤,조시 게드,조나단 그로프",103분 4초,"13,747,792"
45,성난황소 (Unstoppable),2018-11-22,한국,범죄,김민호,"이세영,마동석,송지효,김성오,박지환",115분 53초,"1,593,386"
46,아가씨 (The Handmaiden),2016-06-01,한국,스릴러,박찬욱,"김민희,김태리,하정우,조진웅",144분 44초,"4,289,008"
47,어벤져스: 엔드게임 (Avengers: Endgame),2019-04-24,미국,액션,"안소니 루소,조 루소","로버트 다우니 주니어,크리스 에반스,마크 러팔로,크리스 헴스워스,스칼렛 요한슨,제레미 레너,돈 치들,폴 러드,브리 라슨,카렌 길런,브래들리 쿠퍼,조슈 브롤린",180분 57초,"13,977,602"
48,점박이:한반도의 공룡3D (Speckles: The Tarbosaurus),2012-01-26,한국,애니메이션,한상호,"이형석,신용우,구자형",88분 0초,"1,051,710"
49,변호인 (The Attorney),2013-12-18,한국,드라마,양우석,"송강호,김영애,오달수,곽도원,임시완",126분 55초,"11,375,123"
50,알라딘 (Aladdin),2019-05-23,미국,어드벤처,가이 리치,"윌 스미스,메나 마수드,나오미 스콧",127분 48초,"12,723,777"
